Depth,Reeval_level,Time(s),Preeval
2,1,3.332152185961604,3
2,1,4.864278601482511,3
2,1,4.295000869780779,3
2,1,3.9880514461547136,3
2,1,4.813795927911997,3
2,1,6.035462349653244,3
2,1,3.1779793556779623,3
2,1,5.374392285943031,3
2,1,5.428194893524051,3
2,1,5.265069872140884,3
2,1,6.0559234246611595,3
2,1,2.840723680332303,3
2,1,2.810186017304659,3
2,1,6.183670902624726,3
2,1,3.7051879800856113,3
2,1,2.499051634222269,3
2,1,2.4340228587388992,3
2,1,2.860262505710125,3
2,1,4.2385539170354605,3
2,1,5.517354801297188,3
2,1,3.405560929328203,3
2,1,7.61495784111321,3
2,1,4.7042080126702785,3
2,1,3.15930868498981,3
2,1,3.760837472975254,3
2,1,2.5698594637215137,3
2,1,6.8263931181281805,3
2,1,6.845859760418534,3
2,1,6.158246014267206,3
2,1,5.287959899753332,3
2,1,7.283625062555075,3
2,1,6.694865396246314,3
2,1,9.10255428776145,3
2,1,5.14415767788887,3
2,1,3.684780351817608,3
2,1,4.272129649296403,3
2,1,5.033804319798946,3
2,1,6.001613210886717,3
2,1,3.739002237096429,3
2,1,4.791170712560415,3
2,1,2.4863749966025352,3
2,1,5.015355991199613,3
2,1,3.8202057760208845,3
2,1,4.427183207124472,3
2,1,4.641528120264411,3
2,1,6.523788444697857,3
2,1,3.3354083970189095,3
2,1,6.642231749370694,3
2,1,3.89166522026062,3
2,1,4.5292400028556585,3
2,1,6.013497505337,3
2,1,4.0725110080093145,3
2,1,2.322493126615882,3
2,1,3.205534676089883,3
2,1,5.835647443309426,3
2,1,6.414440460503101,3
2,1,5.893513817340136,3
2,1,3.1279229652136564,3
2,1,4.7539037093520164,3
2,1,5.938239857554436,3
2,1,5.179616715759039,3
2,1,6.254812927916646,3
2,1,5.017517300322652,3
2,1,2.4636040925979614,3
2,1,4.091513238847256,3
2,1,4.423220114782453,3
2,1,5.973923547193408,3
2,1,4.849763009697199,3
2,1,4.606626769527793,3
2,1,4.266382947564125,3
2,1,5.515229607000947,3
2,1,6.427070425823331,3
2,1,5.055429132655263,3
2,1,6.698608443140984,3
2,1,5.869858115911484,3
2,1,4.507516633719206,3
2,1,7.362734571099281,3
2,1,5.228316523134708,3
2,1,5.669530676677823,3
2,1,6.358599102124572,3
2,1,4.915398728102446,3
2,1,4.70738347992301,3
2,1,3.760085789486766,3
2,1,6.796354120597243,3
2,1,6.841858569532633,3
2,1,2.3927570320665836,3
2,1,6.367186304181814,3
2,1,4.188803721219301,3
2,1,6.024430638179183,3
2,1,6.935553899034858,3
2,1,4.848503058776259,3
2,1,5.285416150465608,3
2,1,2.9189864732325077,3
2,1,4.614426201209426,3
2,1,7.364161102101207,3
2,1,4.342726707458496,3
2,1,6.24423042498529,3
2,1,9.14592869952321,3
2,1,6.001914514228702,3
2,1,4.800683997571468,3
2,1,5.603266254067421,3
2,1,4.723318671807647,3
2,1,7.522318724542856,3
2,1,8.708293544128537,3
2,1,5.8448521587997675,3
2,1,4.9752416629344225,3
2,1,5.623813772574067,3
2,1,4.086732562631369,3
2,1,5.515652172267437,3
2,1,5.711982544511557,3
2,1,6.423865022137761,3
2,1,8.479975838214159,3
2,1,5.787570089101791,3
2,1,6.180366696789861,3
2,1,5.801374131813645,3
2,1,4.214109513908625,3
2,1,6.636933362111449,3
2,1,5.215201264247298,3
2,1,5.273036343976855,3
2,1,4.597286282107234,3
2,1,8.414108684286475,3
2,1,5.276451710611582,3
2,1,2.87792900018394,3
2,1,4.950819693505764,3
2,1,6.851575467735529,3
2,1,4.544514572247863,3
2,1,6.250974703580141,3
2,1,7.753753529861569,3
2,1,4.626791192218661,3
2,1,5.774452950805426,3
2,1,5.58748671784997,3
2,1,7.153718631714582,3
2,1,4.5803894847631454,3
2,1,3.8493166975677013,3
2,1,5.045155625790358,3
2,1,5.848021937534213,3
2,1,5.295357026159763,3
2,1,3.462530529126525,3
2,1,5.291687097400427,3
2,1,8.46879407018423,3
2,1,4.6417710687965155,3
2,1,5.636352155357599,3
2,1,5.633974486961961,3
2,1,8.255236947908998,3
2,1,7.534768279641867,3
2,1,7.212740909308195,3
2,1,7.74918301589787,3
2,1,3.227099871262908,3
2,1,5.008091537281871,3
2,1,3.596887843683362,3
2,1,4.661559518426657,3
2,1,6.340972874313593,3
2,1,4.023531835526228,3
2,1,7.496828306466341,3
2,1,8.286800829693675,3
2,1,5.906086577102542,3
2,1,5.40501850284636,3
2,1,7.108050752431154,3
2,1,4.136862941086292,3
2,1,5.279759097844362,3
2,1,3.502062240615487,3
2,1,4.600531315430999,3
2,1,3.59033789858222,3
2,1,5.069753579795361,3
2,1,8.549521125853062,3
2,1,4.4440602995455265,3
2,1,4.598449695855379,3
2,1,3.6711387671530247,3
2,1,3.9859447609633207,3
2,1,5.08622882142663,3
2,1,3.198529940098524,3
2,1,5.21696438267827,3
2,1,4.595611384138465,3
2,1,4.725349612534046,3
2,1,5.293196910992265,3
2,1,5.140577608719468,3
2,1,5.805914968252182,3
3,2,28.452769404277205,3
3,2,47.769307628273964,3
3,2,16.01830094307661,3
3,2,55.553882816806436,3
3,2,15.070109385997057,3
3,2,23.51627350412309,3
3,2,35.168182535097,3
3,2,30.31979701668024,3
3,2,21.127378528937697,3
3,2,35.099311113357544,3
3,2,27.94553923048079,3
3,2,26.428077226504683,3
3,2,17.04399927519262,3
3,2,23.57557561248541,3
3,2,29.263616431504488,3
3,2,74.03047249652445,3
3,2,33.946755047887564,3
3,2,40.85496604256332,3
3,2,53.83271559886634,3
3,2,5.109218617901206,3
3,2,31.085833931341767,3
3,2,64.5968056526035,3
3,2,25.5503799226135,3
3,2,27.951901910826564,3
3,2,32.64506114460528,3
3,2,45.85346149653196,3
3,2,45.57855302281678,3
3,2,19.96474104374647,3
3,2,48.707915890961885,3
3,2,41.92073949240148,3
3,2,63.69802134856582,3
3,2,36.902846263721585,3
3,2,57.89175027795136,3
3,2,66.29435498267412,3
3,2,30.506363440304995,3
3,2,55.02212883345783,3
3,2,66.23499219678342,3
3,2,79.21933393366635,3
3,2,37.237378407269716,3
3,2,29.18510810472071,3
3,2,44.89540218189359,3
3,2,29.871336054056883,3
3,2,70.38684288971126,3
3,2,9.31196022592485,3
3,2,42.229475650936365,3
3,2,47.049693601205945,3
3,2,28.125504346564412,3
3,2,52.755290910601616,3
3,2,41.712596325203776,3
3,2,29.31184978224337,3
3,2,17.20021864771843,3
3,2,31.931013710796833,3
3,2,92.0348469670862,3
3,2,37.464537501335144,3
3,2,26.103537645190954,3
3,2,32.68209649249911,3
3,2,53.450655929744244,3
3,2,21.125280560925603,3
3,2,53.58052310347557,3
3,2,16.527599340304732,3
3,2,34.587326407432556,3
3,2,55.410292929038405,3
3,2,46.43162441253662,3
3,2,45.26261702924967,3
3,2,54.95832649804652,3
3,2,44.693857518956065,3
3,2,45.81537593342364,3
3,2,54.39055583067238,3
3,2,47.60926358029246,3
3,2,46.73884057626128,3
3,2,61.90576293505728,3
3,2,61.64319179020822,3
3,2,54.34050197340548,3
3,2,37.22340616211295,3
3,2,39.09985218197107,3
3,2,105.21512905694544,3
3,2,17.677294451743364,3
3,2,57.97588966228068,3
3,2,10.801113601773977,3
3,2,36.04606148228049,3
3,2,56.485588336363435,3
3,2,43.82209346629679,3
3,2,48.03649527952075,3
3,2,14.341312104836106,3
3,2,27.541028255596757,3
3,2,28.0918380189687,3
3,2,33.36023076623678,3
3,2,75.06122270226479,3
3,2,43.54767679423094,3
3,2,20.88909033499658,3
3,2,20.52143726684153,3
3,2,32.55698408745229,3
3,2,54.77493768930435,3
3,2,36.033751018345356,3
3,2,81.10091377981007,3
3,2,26.802895372733474,3
3,2,26.58320177718997,3
3,2,33.58252069354057,3
3,2,39.47793098166585,3
3,2,34.25532731600106,3
3,2,35.28337677568197,3
3,2,32.22893591970205,3
3,2,39.37365676835179,3
3,2,55.249556267634034,3
3,2,47.78678928129375,3
3,2,44.09429199621081,3
3,2,30.049609187990427,3
3,2,32.85629550740123,3
3,2,52.448642421513796,3
3,2,25.65074242837727,3
3,2,21.705798963084817,3
3,2,24.30845995619893,3
3,2,43.41325797140598,3
3,2,38.150259260088205,3
3,2,49.41227921471,3
3,2,21.227569457143545,3
3,2,29.827919494360685,3
3,2,32.486656319350004,3
3,2,21.170413004234433,3
3,2,13.236772391945124,3
3,2,43.392481898888946,3
3,2,31.935352375730872,3
3,2,15.2533363327384,3
3,2,27.19434112496674,3
3,2,41.00440048053861,3
3,2,31.482184540480375,3
3,2,20.98104373179376,3
3,2,23.639888795092702,3
3,2,52.0850977152586,3
3,2,32.17811432480812,3
3,2,43.616579696536064,3
3,2,42.60612966492772,3
3,2,39.89215115457773,3
3,2,10.673467887565494,3
3,2,26.096899705007672,3
