Depth,Reeval_level,N_best,percentage,percentage_epsilon,Time(s),Preeval
2,1,5,,,0.5271870866417885,3
2,1,5,,,0.4366323258727789,2
2,1,5,,,0.7115494608879089,3
2,1,5,,,0.9188659507781267,3
2,1,5,,,0.9320868626236916,3
2,1,5,,,0.762378865852952,3
2,1,5,,,0.473994055762887,3
2,1,5,,,0.7431827746331692,3
2,1,5,,,0.8138180524110794,3
2,1,5,,,0.6567530948668718,3
2,1,5,,,0.9148108046501875,3
2,1,5,,,0.9216450359672308,3
2,1,5,,,0.9324547126889229,3
2,1,5,,,0.5883983243256807,3
2,1,5,,,0.872959803789854,3
2,1,5,,,0.47790624387562275,3
2,1,5,,,0.9303234070539474,3
2,1,5,,,0.9300767071545124,3
2,1,5,,,0.5372005943208933,3
2,1,5,,,0.8672580849379301,3
2,1,5,,,0.583777729421854,3
2,1,5,,,0.8691269848495722,3
2,1,5,,,0.8012613169848919,3
2,1,5,,,0.8162909895181656,3
2,1,5,,,0.9294754173606634,3
2,1,5,,,0.5950573198497295,3
2,1,5,,,0.8141127582639456,3
2,1,5,,,0.8123213220387697,3
2,1,5,,,0.6719301212579012,3
2,1,5,,,0.488799013197422,3
2,1,5,,,0.7122919764369726,3
2,1,5,,,0.9313755109906197,3
2,1,5,,,0.9290778879076242,3
2,1,5,,,0.813318770378828,3
2,1,5,,,0.6325198281556368,3
2,1,5,,,0.6659571211785078,3
2,1,5,,,0.45088518038392067,3
2,1,5,,,0.8938098046928644,3
2,1,5,,,0.6985732167959213,3
2,1,5,,,0.8174217361956835,3
2,1,5,,,0.7695909030735493,3
2,1,5,,,0.9194081500172615,3
2,1,5,,,0.9123777970671654,3
2,1,5,,,0.7416541799902916,3
2,1,5,,,0.9049365632236004,3
2,1,5,,,0.929841011762619,3
2,1,5,,,0.7245620749890804,3
2,1,5,,,0.7603442035615444,3
2,1,5,,,0.5442947149276733,3
2,1,5,,,0.814378060400486,3
2,1,5,,,0.741446303203702,3
2,1,5,,,0.5813807863742113,3
2,1,5,,,0.8163463044911623,3
2,1,5,,,0.7271711733192205,3
2,1,5,,,0.8175911400467157,3
2,1,5,,,0.5454400964081287,3
2,1,5,,,0.5805700868368149,3
2,1,5,,,0.8963271528482437,3
2,1,5,,,0.9344547465443611,3
2,1,5,,,0.5797249544411898,3
2,1,5,,,0.585553353652358,3
2,1,5,,,0.803756820037961,3
2,1,5,,,0.9256032966077328,3
2,1,5,,,0.8080895375460386,3
2,1,5,,,0.8197203241288662,3
2,1,5,,,0.9289705883711576,3
2,1,5,,,0.9164370838552713,3
2,1,5,,,0.7901770547032356,3
2,1,5,,,0.9331097155809402,3
2,1,5,,,0.7891210597008467,3
2,1,5,,,0.8051146361976862,3
2,1,5,,,0.9304609019309282,3
2,1,5,,,0.8022043406963348,3
2,1,5,,,0.407951008528471,3
2,1,5,,,0.665401017293334,3
2,1,5,,,0.6834378745406866,3
2,1,5,,,0.8146769925951958,3
2,1,5,,,0.9331574328243732,3
2,1,5,,,0.5444349572062492,3
2,1,5,,,0.8011355437338352,3
2,1,5,,,0.5823998041450977,3
2,1,5,,,0.6822496354579926,3
2,1,5,,,0.536285787820816,3
2,1,5,,,0.9201168958097696,3
2,1,5,,,0.6677621249109507,3
2,1,5,,,0.7869039475917816,3
2,1,5,,,0.4661371987313032,3
2,1,5,,,0.9120194669812918,3
2,1,5,,,0.7554855514317751,3
2,1,5,,,0.930507393553853,3
2,1,5,,,0.860989497974515,3
2,1,5,,,0.5612043365836143,3
2,1,5,,,0.5874346103519201,3
2,1,5,,,0.6570251602679491,3
2,1,5,,,0.5754468031227589,3
2,1,5,,,0.438592154532671,3
2,1,5,,,0.5608840864151716,3
2,1,5,,,0.5421594250947237,3
2,1,5,,,0.818420035764575,3
2,1,5,,,0.4881963599473238,3
2,1,5,,,0.9327052310109138,3
2,1,5,,,0.5922105088829994,3
2,1,5,,,0.9321956615895033,3
2,1,5,,,0.8001896254718304,3
2,1,5,,,0.505411459133029,3
2,1,5,,,0.8134533185511827,3
2,1,5,,,0.8170555327087641,3
2,1,5,,,0.6953872572630644,3
2,1,5,,,0.9062798880040646,3
2,1,5,,,0.6186442207545042,3
2,1,5,,,0.8356670998036861,3
2,1,5,,,0.7081607952713966,3
2,1,5,,,0.8120434079319239,3
2,1,5,,,0.9075245074927807,3
2,1,5,,,0.5984420832246542,3
2,1,5,,,0.8083011228591204,3
2,1,5,,,0.5768016558140516,3
2,1,5,,,0.43103368021547794,3
2,1,5,,,0.9355503246188164,3
2,1,5,,,0.9346813894808292,3
2,1,5,,,0.8702485468238592,3
2,1,5,,,0.8605821952223778,3
2,1,5,,,0.930455144494772,3
2,1,5,,,0.8113741762936115,3
2,1,5,,,0.8120355941355228,3
2,1,5,,,0.8070009127259254,3
2,1,5,,,0.6949407253414392,3
2,1,5,,,0.816562432795763,3
2,1,5,,,0.5759804435074329,3
2,1,5,,,0.5791592244058847,3
2,1,5,,,0.6273735761642456,3
2,1,5,,,0.7898472547531128,3
2,1,5,,,0.8779694736003876,3
2,1,5,,,0.6395502965897322,3
2,1,5,,,0.6982718426734209,3
