Depth,Reeval_level,N_best,percentage,percentage_epsilon,Time(s),Preeval
2,1,6,,,1.7279399950057268,3
2,1,6,,,1.574632789939642,3
2,1,6,,,1.6824343707412481,3
2,1,6,,,1.065628407523036,3
2,1,6,,,1.781258873641491,3
2,1,6,,,1.7899920213967562,3
2,1,6,,,1.698279120028019,3
2,1,6,,,1.6634945664554834,3
2,1,6,,,1.5929200798273087,3
2,1,6,,,1.8016074504703283,3
2,1,6,,,1.6306139584630728,3
2,1,6,,,1.8280744813382626,3
2,1,6,,,1.8318878803402185,3
2,1,6,,,1.8213743716478348,3
2,1,6,,,1.1159019246697426,3
2,1,6,,,0.9598833229392767,3
2,1,6,,,1.7966475281864405,3
2,1,6,,,1.5210369005799294,3
2,1,6,,,1.5931561570614576,3
2,1,6,,,1.588422255590558,3
2,1,6,,,1.8224527072161436,3
2,1,6,,,1.8027499187737703,3
2,1,6,,,1.5742427613586187,3
2,1,6,,,1.8239660691469908,3
2,1,6,,,1.496276531368494,3
2,1,6,,,1.8395099472254515,3
2,1,6,,,1.5671832505613565,3
2,1,6,,,0.8590301722288132,3
2,1,6,,,1.101212652400136,3
2,1,6,,,1.1280254386365414,3
2,1,6,,,0.9059535060077906,3
2,1,6,,,0.9113246537744999,3
2,1,6,,,1.0957427471876144,3
2,1,6,,,0.9297436159104109,3
2,1,6,,,0.9108103569597006,3
2,1,6,,,1.096372839063406,3
2,1,6,,,0.9796052630990744,3
2,1,6,,,1.025471094995737,3
2,1,6,,,0.9202180337160826,3
2,1,6,,,0.9172849245369434,3
2,1,6,,,1.0763745810836554,3
2,1,6,,,0.9099747538566589,3
2,1,6,,,0.9159574396908283,3
2,1,6,,,0.9508057795464993,3
2,1,6,,,0.927544379606843,3
2,1,6,,,1.5232249032706022,3
2,1,6,,,0.9269709922373295,3
2,1,6,,,0.9177199229598045,3
2,1,6,,,1.4560403898358345,3
2,1,6,,,1.0255314093083143,3
2,1,6,,,1.7781324367970228,3
2,1,7,,,3.208944609388709,3
2,1,7,,,1.8175647035241127,3
2,1,7,,,1.8329229205846786,3
2,1,7,,,1.6700081136077642,3
2,1,7,,,1.6034523211419582,3
2,1,7,,,1.833208605647087,3
2,1,7,,,1.857083884999156,3
2,1,7,,,1.1783871483057737,3
2,1,7,,,1.8926045242697,3
2,1,7,,,1.1774175949394703,3
2,1,7,,,1.8649970591068268,3
2,1,7,,,1.399740507826209,3
2,1,7,,,1.0768594034016132,3
2,1,7,,,1.759538883343339,3
2,1,7,,,1.110876340419054,3
2,1,7,,,1.8879740554839373,3
2,1,7,,,1.8683916088193655,3
2,1,7,,,1.8618745766580105,3
2,1,7,,,1.171973168849945,3
2,1,7,,,1.3765184506773949,3
2,1,7,,,0.9476867131888866,3
2,1,7,,,1.7011913806200027,3
2,1,7,,,1.8021066673099995,3
2,1,7,,,1.6657495442777872,3
2,1,7,,,1.1417573280632496,3
2,1,7,,,1.7849054038524628,3
2,1,7,,,1.620105791836977,3
2,1,7,,,1.6752795837819576,3
2,1,7,,,1.103669824078679,3
2,1,7,,,1.8454938270151615,3
2,1,7,,,1.8386239409446716,3
2,1,7,,,1.715123737230897,3
2,1,7,,,1.6247781366109848,3
2,1,7,,,1.5848005432635546,3
2,1,7,,,1.8382511399686337,3
2,1,7,,,1.5959007069468498,3
2,1,7,,,1.8336102794855833,3
2,1,7,,,1.8857932779937983,3
2,1,7,,,1.7198190744966269,3
2,1,7,,,1.1689581964164972,3
2,1,7,,,0.9691026415675879,3
2,1,7,,,1.8180042561143637,3
2,1,7,,,1.5012479703873396,3
2,1,7,,,1.5738842450082302,3
2,1,7,,,1.5821993462741375,3
2,1,7,,,1.8158775009214878,3
2,1,7,,,1.8652231805026531,3
2,1,7,,,1.6150494683533907,3
2,1,7,,,1.8170910887420177,3
2,1,7,,,1.497184680774808,3
2,1,7,,,1.8268826771527529,3
2,1,7,,,1.535399079322815,3
2,1,7,,,0.8679673373699188,3
